type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA
cbk,90417,Switzerland Language and Culture,32,,,,,,,,,,,,,,,,
cbk,90480,Chinese Language and Culture,32,,,,,,,,,,,,,,,,
cbk,90481,Japanese Language and Culture,32,,,,,,,,,,,,,,,,
cbk,90483,French Language and Culture,32,,,,,,,,,,,,,,,,
cbk,90484,Spanish Language and Culture,32,,,,,,,,,,,,,,,,
cbk,90485,German Language and Culture,32,,,,,,,,,,,,,,,,
cbk,90486,Italian Language and Culture,32,,,,,,,,,,,,,,,,
cbk,90005,Country major choice,96,,,,,,,,,,,,,,,,
cbk,90169,Major Choice (Business),48,,,,,,,,,,,,,,,,
cbk,90304,Electives,24,,,,,,,,,,,,,,,,
cbk,90418,Bilingual Language and Culture (Switzerland),32,,,,,,,,,,,,,,,,
cbk,90487,Chinese Language and Culture,16,,,,,,,,,,,,,,,,
cbk,90488,Japanese Language and Culture,16,,,,,,,,,,,,,,,,
cbk,90490,French Language and Culture,16,,,,,,,,,,,,,,,,
cbk,90491,Spanish Language and Culture,16,,,,,,,,,,,,,,,,
cbk,90492,German Language and Culture,16,,,,,,,,,,,,,,,,
cbk,90493,Italian Language and Culture,16,,,,,,,,,,,,,,,,
cbk,90494,Chinese Language and Culture,24,,,,,,,,,,,,,,,,
cbk,90495,Japanese Language and Culture,24,,,,,,,,,,,,,,,,
cbk,90497,French Language and Culture,24,,,,,,,,,,,,,,,,
cbk,90498,Spanish Language and Culture,24,,,,,,,,,,,,,,,,
cbk,90499,German Language and Culture,24,,,,,,,,,,,,,,,,
cbk,90500,Italian Language and Culture,24,,,,,,,,,,,,,,,,
cbk,90571,Electives,24,0,,,,,,,,,,,,,,,
cbk,90781,Major choice (Information Technology),48,,,,,,,,,,,,,,,,
cbk,90782,Major/Two sub-majors/Electives,48,,,,,,,,,,,,,,,,
cbk,90783,Electives,24,,,,,,,,,,,,,,,,
cbk,90922,Options (Law UG),30,,,,,,,,,,,,,,,,
cbk,90923,Options (Legal Theory UG),6,,,,,,,,,,,,,,,,
cbk,91043,Choice (No specified major),36,,,,,,,,,,,,,,,,
cbk,91046,Major choice (IT),36,,,,,,,,,,,,,,,,
cbk,91202,Choice (Advanced Technology),6,4,,,,,,,,,,,,,,,
cbk,91203,Choice (Technology),6,3,,,,,,,,,,,,,,,
cbk,91220,Major choice (Information Technology),48,,,,,,,,,,,,,,,,
cbk,91728,Choice (Legal Futures and Technnology),,,,,,,,,,,,,,,,,
cbk,91729,LLB options,30,,,,,,,,,,,,,,,,
cbk,91738,Electives,12,,,,,,,,,,,,,,,,
cbk,91780,Sub-major/Electives,36,,,,,,,,,,,,,,,,
cbk,91743,Cyber Security choice,24,,,,,,,,,,,,,,,,
cbk,91048,Options (BIS),24,,,,,,,,,,,,,,,,
cbk,91050,Options (Data Analytics),24,,,,,,,,,,,,,,,,
cbk,91051,Options (Multimedia),24,,,,,,,,,,,,,,,,
cbk,91049,Options (Internetworking),24,,,,,,,,,,,,,,,,
cbk,91052,Options (Software development),24,,,,,,,,,,,,,,,,
cbk,91047,IT Project + Elective choice,18,,,,,,,,,,,,,,,,
cbk,91045,Electives (Information Technology),12,,,,,,,,,,,,,,,,
cbk,91053,Sub-major choice (IT),24,,,,,,,,,,,,,,,,
cbk,91054,Choice (No specified sub-major),24,,,,,,,,,,,,,,,,
